event_id,date,family,variant,service,platform,location_id,event_type,result,source_type,source_url,confidence,notes
MTI-2026-0014,2026-07-08,Pinaka,LRGR 120,Indian Army,Ground Launcher,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2282572,High,"Defence Research & Development Organisation (DRDO) conducted a successful flight-test of Pinaka Long Range Guided Rocket (LRGR) at the Integrated Test Range (ITR), Chandipur on July 08, 2026."
MTI-2026-0013,2026-06-15,LR-LACM,Base,DRDO,Ground Launcher,LOC-002,Development Test,Success,Official,https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2273160&reg=3&lang=1,High,Successful flight-test of indigenously developed LRLACM. All mission objectives met per ITR Chandipur tracking data. All sub-systems developed by DRDO labs and Indian industry; ADE Bengaluru is nodal lab.
MTI-2026-0012,2026-06-13,NASM-MR,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2272374&reg=48&lang=1,High,Maiden flight test. Ground based launcher.
MTI-2026-0010,2026-06-10,AD1,Base,DRDO,Ground Launcher,LOC-UNK,Technology Demonstration,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2272374&reg=48&lang=1,High,DRDO demo’d multi-layered defence against long range ballistic missiles. 3 test flights
MTI-2026-0011,2026-06-10,AD2,Base,DRDO,Ground Launcher,LOC-UNK,Technology Demonstration,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2272374&reg=48&lang=1,High,DRDO demo’d multi-layered defence against long range ballistic missiles. 3 test flights
MTI-2026-0009,2026-06-02,RudraM,2,DRDO,Su-30MKI,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2268099&reg=48&lang=1,High,Extreme release conditions test from a Su30MKI.
MTI-2026-0008,2026-05-22,Agni,1,SFC,Ground Launcher,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2264317&reg=48&lang=1,High,"Successfully test-fired from the Integrated Test Range in Chandipur, Odisha. Under the aegis of SFC. Note — could be a cover for an announced test."
MTI-2026-0007,2026-05-19,ULPGM,V3,DRDO,Ground Launcher,LOC-007,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2263045&reg=48&lang=1,High,"Completed the final deliverable configuration development trials in in Air-to-Ground and Air-to-Air modes. Tested at DRDO test range near Kurnool, Andhra Pradesh"
MTI-2026-0006,2026-05-09,Agni,V MIRV,DRDO,Ground Launcher,LOC-002,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2259380&reg=48&lang=1,High,Successful flight-tests from Dr APJ Abdul Kalam island off the coast of Odisha.
MTI-2026-0005,2026-04-29,NASM-SR,Base,Indian Navy,Sea King,LOC-006,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2256722&reg=48&lang=1,High,Salvo launch of 2 missiles from a single Naval Sea King helicopter. Off the coast of Bay of Bengal in Odisha
